ID,ЛПНП
k31__2__2,0.6184188888715828
k31__0__0,0.5611246332576647
k31__13__13,0.5598647497433774
k31__14__14,0.5385472935867454
k31__25__25,0.6305498610990855
k31__15__15,0.6015643745724194
k31__23__23,0.6189262326324396
k31__40__40,0.6300625072315165
k31__22__22,0.6394734739482306
k31__18__18,0.626067835235937
k31__19__19,0.6321070598512295
k31__43__43,0.5185772142528113
k31__79__79,0.6196188761142316
k31__94__94,0.6092429397904013
k31__89__89,0.6187987465636293
k31__88__88,0.637422681124485
k31__74__74,0.5544105544352527
k31__48__48,0.5496235743062995
k31__55__55,0.5369277821941535
k31__56__56,0.5386222666417707
k31__99__99,0.6344284986436203
k31__87__87,0.5953782980411316
k31__95__95,0.5850066034343246
k31__49__49,0.5632251758098389
k31__112__112,0.5371225914879136
k31__121__121,0.5798786517632009
k31__110__110,0.5997530984898839
k31__162__162,0.5557318458462323
k31__139__139,0.616079606169508
k31__127__127,0.6384574455903723
k31__151__151,0.6234325917667214
k31__134__134,0.6385173294868597
k31__155__155,0.6280238633559818
k31__157__157,0.6287367922909535
k31__210__210,0.6110222283049467
k31__186__186,0.6023895715365959
k31__199__199,0.6423053642904958
k31__213__213,0.6288070675692541
k31__170__170,0.6174980268533024
k31__201__201,0.5509976157687518
k31__183__183,0.6258760971562267
k31__189__189,0.5622616781776015
k31__169__169,0.6087651589061035
k31__233__233,0.5531572133064984
k31__238__238,0.548626143505382
k31__234__234,0.6207348844430041
k31__254__254,0.6350330958735261
k31__264__264,0.6364560796307789
k31__261__261,0.5563873681482698
k31__249__249,0.621965342730206
k31__241__241,0.6294594322325957
k31__262__262,0.6206863794820692
k31__260__260,0.6284791384342879
k31__274__274,0.6000411648583323
k31__282__282,0.5746602468742689
k31__278__278,0.6326637369116633
k31__283__283,0.5987119322506126
k31__345__345,0.5794776194756771
k31__342__342,0.5473156794848262
k31__309__309,0.6289800530922196
k31__326__326,0.5784991145118533
k31__314__314,0.5441828279809305
k31__311__311,0.5149454214384086
k31__349__349,0.6224690029640458
k31__344__344,0.6355574334282115
k31__295__295,0.6065831433785529
k31__299__299,0.6247359333117576
k31__330__330,0.6098521657661864
k31__302__302,0.636572310614932
k31__322__322,0.6259819195933712
k31__425__425,0.6182535891146286
k31__366__366,0.6196855113306702
k31__415__415,0.5907621779923848
k31__376__376,0.5737079245464077
k31__392__392,0.6192713227514994
k31__400__400,0.5775527434271476
k31__387__387,0.5683620513359978
k31__389__389,0.6241526213891508
k31__380__380,0.633964326691754
k31__365__365,0.6264596078661873
k31__399__399,0.5460109348372546
k31__357__357,0.5772570183622979
k31__420__420,0.5374838585542683
k31__391__391,0.6270756410108794
k31__410__410,0.5950670489954547
k31__359__359,0.6293922802505449
k31__442__442,0.6236870421327755
k31__504__504,0.5326159227577176
k31__455__455,0.5970954922079865
k31__481__481,0.5248736847422454
k31__466__466,0.606490130181252
k31__450__450,0.6062864021152543
k31__502__502,0.556616259193258
k31__452__452,0.6298607135808126
k31__461__461,0.6061953992051949
k31__510__510,0.5590010264721017
k31__446__446,0.5786031058099573
k31__431__431,0.5808696972574623
k31__491__491,0.6177813183026907
k31__468__468,0.6378805851521359
k31__434__434,0.6255782233172238
k31__509__509,0.6351643405640722
k31__460__460,0.6124358436960275
k31__555__555,0.5887847209285504
k31__543__543,0.5197735514311216
k31__521__521,0.521920099887555
k31__534__534,0.6040761310025263
k31__570__570,0.5458451643967722
k31__538__538,0.6144314442967901
k31__553__553,0.5270317302028931
k31__528__528,0.6378508526514379
k31__517__517,0.5593275683630634
k31__525__525,0.6310666292188013
k31__549__549,0.5973927932585315
k31__595__595,0.5429349340676941
k31__609__609,0.6045479720286715
k31__588__588,0.6308156623236731
k31__601__601,0.6129564247960995
k31__590__590,0.6310020987344659
k31__575__575,0.6281254992777335
k31__614__614,0.6380244234398443
k31__608__608,0.6309794460256556
k31__596__596,0.6153012455959546
k31__573__573,0.6185418637282262
k31__658__658,0.5344587805616452
k31__624__624,0.52420687615681
k31__675__675,0.6316021273354402
k31__680__680,0.5979654511716692
k31__650__650,0.6145568054109222
k31__627__627,0.5510503906018974
k31__674__674,0.6132586139036165
k31__653__653,0.5610088503975215
k31__641__641,0.5340366101959163
k31__663__663,0.60070368991935
k31__623__623,0.5972352093573788
k31__686__686,0.6271154154698944
k31__656__656,0.6101594934540039
k31__648__648,0.6057696180278499
k31__635__635,0.5649529938577372
k31__688__688,0.5471112022286495
k31__696__696,0.5656883052277814
k31__699__699,0.594387508294426
